Date,Close,Volume
"Nov 28, 2011","1,192.55","739,215,915"
"Nov 25, 2011","1,158.67","335,956,880"
"Nov 23, 2011","1,161.79",0
"Nov 22, 2011","1,188.04","674,946,864"
"Nov 21, 2011","1,192.98","735,399,102"
"Nov 18, 2011","1,215.65","788,180,044"
"Nov 17, 2011","1,216.13","822,872,074"
"Nov 16, 2011","1,236.91","753,541,287"
"Nov 15, 2011","1,257.81","624,302,078"
"Nov 14, 2011","1,251.78","533,463,234"
"Nov 11, 2011","1,263.85","576,721,361"
"Nov 10, 2011","1,239.70","692,943,332"
"Nov 9, 2011","1,229.10","851,197,270"
"Nov 8, 2011","1,275.92","658,714,639"
"Nov 7, 2011","1,261.12","599,517,168"
"Nov 4, 2011","1,253.23","650,297,708"
"Nov 3, 2011","1,261.15","794,731,867"
"Nov 2, 2011","1,237.90","751,246,981"
"Nov 1, 2011","1,218.28","1,000,384,262"
"Oct 31, 2011","1,253.30","860,463,689"
"Oct 28, 2011","1,285.08","773,623,934"
"Oct 27, 2011","1,284.59","1,060,954,523"
"Oct 26, 2011","1,242.00","892,603,231"
"Oct 25, 2011","1,229.05","774,021,372"
"Oct 24, 2011","1,254.19","700,005,048"
"Oct 21, 2011","1,238.25","1,039,907,588"
"Oct 20, 2011","1,215.39","768,757,500"
"Oct 19, 2011","1,209.88","776,277,817"
"Oct 18, 2011","1,225.38","853,336,854"
"Oct 17, 2011","1,200.86","679,194,964"
"Oct 14, 2011","1,224.58","627,784,340"
"Oct 13, 2011","1,203.66","678,085,409"
"Oct 12, 2011","1,207.25","805,996,037"
"Oct 11, 2011","1,195.54","650,495,293"
"Oct 10, 2011","1,194.89","654,900,182"
"Oct 7, 2011","1,155.46","881,987,180"
"Oct 6, 2011","1,164.97","851,180,498"
"Oct 5, 2011","1,144.04","973,757,258"
"Oct 4, 2011","1,123.95","1,234,751,524"
"Oct 3, 2011","1,099.23","1,064,637,423"
"Sep 30, 2011","1,131.42","986,533,828"
"Sep 29, 2011","1,160.40","883,318,450"
"Sep 28, 2011","1,151.06","789,870,229"
"Sep 27, 2011","1,175.38","900,240,442"
"Sep 26, 2011","1,162.95","918,023,089"
"Sep 23, 2011","1,136.43","951,820,410"
"Sep 22, 2011","1,129.56","1,347,290,451"
"Sep 21, 2011","1,166.76","967,540,054"
"Sep 20, 2011","1,202.09","720,960,934"
"Sep 19, 2011","1,204.09","738,602,405"
"Sep 16, 2011","1,216.01","1,568,106,835"
"Sep 15, 2011","1,209.11","802,306,604"
"Sep 14, 2011","1,188.68","887,359,352"
"Sep 13, 2011","1,172.87","832,337,292"
"Sep 12, 2011","1,162.27","857,714,917"
"Sep 9, 2011","1,154.23","993,603,433"
"Sep 8, 2011","1,185.90","782,308,099"
"Sep 7, 2011","1,198.62","771,110,426"
"Sep 6, 2011","1,165.24","860,860,457"
"Sep 2, 2011","1,173.97","723,929,644"
"Sep 1, 2011","1,204.42","742,114,585"
"Aug 31, 2011","1,218.89","963,811,586"
"Aug 30, 2011","1,212.92","794,771,483"
"Aug 29, 2011","1,210.08","686,404,157"
"Aug 26, 2011","1,176.80","917,776,305"
"Aug 25, 2011","1,159.27","944,172,666"
"Aug 24, 2011","1,177.60","876,215,466"
"Aug 23, 2011","1,162.35","962,340,913"
"Aug 22, 2011","1,123.82","911,682,001"
"Aug 19, 2011","1,123.53","1,274,017,115"
"Aug 18, 2011","1,140.65","1,304,288,663"
"Aug 17, 2011","1,193.88","784,412,496"
"Aug 16, 2011","1,192.76","871,874,227"
"Aug 15, 2011","1,204.49","855,621,780"
"Aug 12, 2011","1,178.81","1,000,795,534"
"Aug 11, 2011","1,172.64","1,528,892,951"
"Aug 10, 2011","1,120.76","1,717,760,269"
"Aug 9, 2011","1,172.53","1,861,439,426"
"Aug 8, 2011","1,119.46","1,938,224,823"
"Aug 5, 2011","1,199.38","1,724,038,427"
"Aug 4, 2011","1,200.07","1,354,440,481"
"Aug 3, 2011","1,260.34","1,017,929,428"
"Aug 2, 2011","1,254.05","960,305,320"
"Aug 1, 2011","1,286.94","851,983,685"
"Jul 29, 2011","1,292.28","951,840,994"
"Jul 28, 2011","1,300.67","748,423,359"
"Jul 27, 2011","1,304.89","852,723,222"
"Jul 26, 2011","1,331.94","652,053,297"
"Jul 25, 2011","1,337.43","576,860,663"
"Jul 22, 2011","1,345.02","585,559,408"
"Jul 21, 2011","1,343.80","829,496,744"
"Jul 20, 2011","1,325.84","644,010,506"
"Jul 19, 2011","1,326.73","696,044,433"
"Jul 18, 2011","1,305.44","678,947,418"
"Jul 15, 2011","1,316.14","884,873,379"
"Jul 14, 2011","1,308.87","720,241,043"
"Jul 13, 2011","1,317.72","665,194,136"
"Jul 12, 2011","1,313.64","727,709,237"
"Jul 11, 2011","1,319.49","634,678,149"
"Jul 8, 2011","1,343.80","604,566,402"
"Jul 7, 2011","1,353.22",0
"Jul 6, 2011","1,339.22",0
"Jul 5, 2011","1,337.88",0
"Jul 1, 2011","1,339.67",0
"Jun 30, 2011","1,320.64",0
"Jun 29, 2011","1,307.41",0
"Jun 28, 2011","1,296.67",0
"Jun 27, 2011","1,280.10",0
"Jun 24, 2011","1,268.45",0
"Jun 23, 2011","1,283.50",0
"Jun 22, 2011","1,287.14",0
"Jun 21, 2011","1,295.52",0
"Jun 20, 2011","1,278.36",0
"Jun 17, 2011","1,271.50",0
"Jun 16, 2011","1,267.64",0
"Jun 15, 2011","1,265.42",0
"Jun 14, 2011","1,287.87",0
"Jun 13, 2011","1,271.83",0
"Jun 10, 2011","1,270.98",0
"Jun 9, 2011","1,289.00",0
"Jun 8, 2011","1,279.56",0
"Jun 7, 2011","1,284.94",0
"Jun 6, 2011","1,286.17",0
"Jun 3, 2011","1,300.16",0
"Jun 2, 2011","1,312.94",0
"Jun 1, 2011","1,314.55",0
"May 31, 2011","1,345.20",0
"May 27, 2011","1,331.10",0
"May 26, 2011","1,325.69",0
"May 25, 2011","1,320.47",0
"May 24, 2011","1,316.28",0
"May 23, 2011","1,317.37",0
"May 20, 2011","1,333.27",0
"May 19, 2011","1,343.60",0
"May 18, 2011","1,340.68",0
"May 17, 2011","1,328.98",0
"May 16, 2011","1,329.47",0
"May 13, 2011","1,337.77",0
"May 12, 2011","1,348.65",0
"May 11, 2011","1,342.08",0
