Case ID,Opened,Closed,Status,Address,Category,Request Type,Request Details,Supervisor District,Neighborhood,Latitude,Longitude
1833119,12/29/2012 01:29 PM,01/10/2013 11:15 PM,Closed,"190 BRIGHTON AVE, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_residential Offensive,Graffiti on Building_residential Offensive,11,Ocean View,37.721629006,-122.454954871
1833103,12/29/2012 01:24 PM,01/08/2013 12:18 PM,Closed,"150 HOLLOWAY AVE, SAN FRANCISCO, CA, 94112",Graffiti Private Property,Graffiti on Building_commercial Offensive,Graffiti on Building_commercial Offensive,11,Ocean View,37.722069267,-122.454959535
1833070,12/29/2012 01:12 PM,,Open,"3660 19TH ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,8,Mission,37.760109693,-122.425016085
1833069,12/29/2012 01:12 PM,,Open,"1345 UNDERWOOD AVE, SAN FRANCISCO, CA, 94124",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,10,Bayview,37.726855174,-122.38721529
1833068,12/29/2012 01:12 PM,,Open,"2030 HARRISON ST, SAN FRANCISCO, CA, 94110",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Mission,37.76448489,-122.41329735
1833067,12/29/2012 01:12 PM,,Open,Intersection of 2ND ST and BRYANT ST,Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Financial District South,37.783077829,-122.393617515
1832886,12/29/2012 12:12 PM,,Open,"1800 FOLSOM ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_other Not_Offensive,Graffiti on Building_other Not_Offensive,6,Mission,37.767828809,-122.416115421
1832620,12/29/2012 10:38 AM,01/14/2013 03:18 PM,Closed,"2250 IRVING ST, SAN FRANCISCO, CA, 94122",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,4,Outer Sunset,37.763550996,-122.482277686
1832522,12/29/2012 09:58 AM,12/31/2012 07:13 AM,Closed,"8 CAMBRIDGE ST, SAN FRANCISCO, CA, 94112",Graffiti Public Property,Graffiti on Signal_box Not_Offensive,Graffiti on Signal_box Not_Offensive,11,Excelsior,37.731022681,-122.421331459
1832469,12/29/2012 09:41 AM,12/29/2012 03:21 PM,Closed,"2807 SAN BRUNO AVE, SAN FRANCISCO, CA, 94134",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,10,Excelsior,37.726379002,-122.402933718
1832455,12/29/2012 09:31 AM,,Open,Intersection of 15TH ST and SHARON ST,Graffiti Public Property,Graffiti on Sidewalk_structure Not_Offensive,Graffiti on Sidewalk_structure Not_Offensive,8,Eureka Valley / Dolores Heights,37.766063291,-122.429926513
1832297,12/29/2012 07:53 AM,,Open,"1913 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,3,North Beach,37.804606011,-122.408563519
1832294,12/29/2012 07:51 AM,,Open,"2001 GRANT AVE, SAN FRANCISCO, CA, 94133",Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,3,North Beach,37.805446817,-122.408666493
1831621,12/28/2012 06:27 PM,,Open,"55 GAVEN ST, SAN FRANCISCO, CA, 94134",Graffiti Private Property,Graffiti on Building_residential Offensive,Graffiti on Building_residential Offensive,9,Excelsior,37.733580843,-122.407285912
1831453,12/28/2012 05:19 PM,01/03/2013 03:12 PM,Closed,"1818 HARRISON ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Post_Abatement_Inspection,Graffiti on Building_commercial Post_Abatement_Inspection,6,Mission,37.768193164,-122.413690458
1831252,12/28/2012 04:27 PM,12/28/2012 05:13 PM,Closed,"3590 19TH ST, SAN FRANCISCO, CA, 94110",Graffiti Public Property,Graffiti on Pole Not_Offensive,Graffiti on Pole Not_Offensive,8,Mission,37.760173257,-122.423360396
1831207,12/28/2012 04:19 PM,,Open,Intersection of ALEMANY BLVD and GENEVA AVE,Graffiti Private Property,Graffiti on Building_residential Not_Offensive,Graffiti on Building_residential Not_Offensive,11,Mission Terrace,37.717833638,-122.4423283
1831121,12/28/2012 04:02 PM,,Open,Intersection of 19TH ST and VALENCIA ST,Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,8,Inner Mission,37.760101275,-122.421424399
1830957,12/28/2012 03:37 PM,,Open,"3116 16TH ST, SAN FRANCISCO, CA, 94103",Graffiti Public Property,Graffiti on Fire_Police_Callbox Not_Offensive,Graffiti on Fire_Police_Callbox Not_Offensive,6,Mission,37.765143035,-122.422229555
1830947,12/28/2012 03:34 PM,,Open,"3122 16TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Building_commercial Not_Offensive,Graffiti on Building_commercial Not_Offensive,6,Mission,37.765124389,-122.422614887
1830917,12/28/2012 03:26 PM,01/04/2013 11:12 AM,Closed,"3092 16TH ST, SAN FRANCISCO, CA, 94103",Graffiti Private Property,Graffiti on Sidewalk_in_front_of_property Not_Offensive,Graffiti on Sidewalk_in_front_of_property Not_Offensive,6,Mission,37.765175899,-122.421595454
1830903,12/28/2012 03:24 PM,01/04/2013 06:12 AM,Closed,Intersection of 16TH ST and CALEDONIA ST,Graffiti Public Property,Graffiti on Signal_box Not_Offensive,Graffiti on Signal_box Not_Offensive,6,Inner Mission,37.764948088,-122.421381948
